Name,Year,Annual_Profit,E,S,G,ESG
1,2019,7659,14,3,8,3
1,2020,6321,5,17,26,12
1,2021,8745,9,29,28,18
2,2019,7841,6,5,2,1
2,2020,5639,4,11,2,2
2,2021,9431,10,25,3,9
3,2019,1369,0,0,0,0
3,2020,1554,35,38,37,38
3,2021,1856,55,79,81,68
4,2019,287,26,28,6,26
4,2020,265,51,52,42,47
4,2021,402,151,150,98,118
5,2019,476,0,0,0,0
5,2020,494,20,6,3,5
5,2021,534,40,7,2,8
6,2020,667,8,3,18,6
6,2021,1191,4,12,11,4
6,2019,682,15,18,5,11
7,2019,877,18,4,4,4
7,2021,1317,35,11,44,42
7,2020,1117,38,16,27,32
8,2019,852,3,14,17,10
8,2021,1157,8,15,40,15
8,2020,711,25,23,25,26
9,2019,248,0,0,0,0
9,2020,253,21,28,14,22
9,2021,420,24,34,21,28
10,2019,257,0,0,0,0
10,2020,364,15,10,24,14
10,2021,365,2,22,18,6
11,2019,8676,10,7,18,9
11,2021,8761,11,8,6,5
11,2020,5757,7,19,21,15
12,2019,1030,2,9,10,5
12,2020,1002,11,35,6,21
12,2021,1081,49,60,51,50
13,2019,2013,0,0,0,0
13,2020,2182,39,32,17,33
13,2021,2501,61,47,39,44
14,2021,835,23,2,17,14
14,2020,485,26,4,11,13
14,2019,527,19,22,11,19
15,2019,1815,9,25,19,21
15,2020,1182,29,42,43,39
15,2021,1536,34,107,100,77
16,2019,932,7,2,14,2
16,2020,795,36,33,23,37
16,2021,1265,39,50,31,37
